iter	Passed	Remaining
745	1302	443
746	1303	441
747	1306	440
748	1307	438
749	1309	436
750	1310	434
751	1311	432
752	1313	430
753	1314	428
754	1315	426
755	1316	425
756	1318	423
757	1320	421
758	1322	419
759	1323	417
760	1324	416
761	1326	414
762	1327	412
763	1328	410
764	1330	408
765	1331	406
766	1332	404
767	1335	403
768	1336	401
769	1337	399
770	1339	397
771	1340	395
772	1341	394
773	1343	392
774	1344	390
775	1345	388
776	1347	386
777	1349	385
778	1350	383
779	1352	381
780	1353	379
781	1354	377
782	1356	375
783	1357	374
784	1358	372
785	1360	370
786	1361	368
787	1363	366
788	1365	365
789	1366	363
790	1367	361
791	1369	359
792	1370	357
793	1371	355
794	1373	354
795	1374	352
796	1375	350
797	1377	348
798	1379	347
799	1380	345
800	1382	343
801	1383	341
802	1384	339
803	1386	337
804	1387	336
805	1388	334
806	1390	332
807	1393	331
808	1394	329
809	1396	327
810	1397	325
811	1398	323
812	1400	322
813	1401	320
814	1402	318
815	1404	316
816	1405	314
817	1408	313
818	1409	311
819	1411	309
820	1412	307
821	1413	306
822	1415	304
823	1416	302
824	1417	300
825	1419	298
826	1420	297
827	1423	295
828	1424	293
829	1425	292
830	1427	290
831	1428	288
832	1429	286
833	1431	284
834	1432	283
835	1434	281
836	1436	279
837	1438	278
838	1439	276
839	1441	274
840	1442	272
841	1443	270
842	1446	269
843	1448	267
844	1450	266
845	1452	264
846	1453	262
847	1454	260
848	1456	259
849	1457	257
850	1459	255
851	1460	253
852	1461	251
853	1463	250
854	1466	248
855	1467	246
856	1468	245
857	1470	243
858	1471	241
859	1472	239
860	1474	238
861	1475	236
862	1476	234
863	1478	232
864	1480	231
865	1481	229
866	1482	227
867	1484	225
868	1486	224
869	1487	222
870	1489	220
871	1490	218
872	1491	216
873	1493	215
874	1495	213
875	1496	211
876	1497	210
877	1499	208
878	1500	206
879	1501	204
880	1503	203
881	1504	201
882	1505	199
883	1507	197
884	1508	196
885	1510	194
886	1511	192
887	1513	190
888	1514	189
889	1516	187
890	1517	185
891	1518	183
892	1520	182
893	1522	180
894	1524	178
895	1525	177
896	1527	175
897	1528	173
898	1529	171
899	1531	170
900	1532	168
901	1533	166
902	1535	164
903	1537	163
904	1538	161
905	1539	159
906	1541	158
907	1542	156
908	1544	154
909	1545	152
910	1546	151
911	1547	149
912	1549	147
913	1552	146
914	1553	144
915	1554	142
916	1556	140
917	1557	139
918	1558	137
919	1559	135
920	1561	133
921	1562	132
922	1563	130
923	1566	128
924	1568	127
925	1569	125
926	1571	123
927	1572	122
928	1574	120
929	1575	118
930	1576	116
931	1578	115
932	1581	113
933	1583	111
934	1584	110
935	1585	108
936	1586	106
937	1588	104
938	1589	103
939	1591	101
940	1592	99
941	1595	98
942	1596	96
943	1598	94
944	1599	93
945	1601	91
946	1602	89
947	1603	87
948	1605	86
949	1606	84
950	1609	82
951	1611	81
952	1612	79
953	1614	77
954	1615	76
955	1617	74
956	1618	72
957	1620	71
958	1621	69
959	1623	67
960	1626	65
961	1627	64
962	1629	62
963	1630	60
964	1631	59
965	1633	57
966	1634	55
967	1635	54
968	1638	52
969	1640	50
970	1641	49
971	1643	47
972	1644	45
973	1646	43
974	1647	42
975	1648	40
976	1650	38
977	1653	37
978	1655	35
979	1657	33
980	1658	32
981	1659	30
982	1661	28
983	1662	27
984	1664	25
985	1665	23
986	1668	21
987	1670	20
988	1671	18
989	1673	16
990	1674	15
991	1676	13
992	1677	11
993	1678	10
994	1680	8
995	1684	6
996	1685	5
997	1686	3
998	1688	1
999	1689	0
